Category,Descript
regulated,"Collectively, our data suggested that RAB1A acts as an oncogene by regulating cellular proliferation, growth, invasion and metastasis via activation of mTORC1 pathway in triple-negative breast cancer."
induced,Further study finds that activation of the Hippo pathway induces S100A7 expression and further confirms that nuclear YAP acts as a repressor of S100A7 in H292 cells.
inhibition,"Herein, the goal of this study was to investigate the anti-tumor activities of a HDAC inhibitor, HNHA alone and in combination with sorafenib in ATC cells in vitro and in vivo and to explore its effects on apoptotic cell death pathways."
inhibition,"DHA inhibited the TPA-induced activation of mitogen-activated protein kinase (MAPK) and the transcription of nuclear factor (NF)-ÎºB, but did not inhibit the transcription of activator protein-1."
activation,"DHA inhibited the TPA-induced activation of mitogen-activated protein kinase (MAPK) and the transcription of nuclear factor (NF)-ÎºB, but did not inhibit the transcription of activator protein-1."
regulated,These results indicate that DHA regulates MMP-9 expression and cell invasion via modulation of the MAPK signaling pathway and PPAR-Î³/NF-ÎºB activity.
inhibition,HCRP1 depletion increased EGFR activation and inhibited EGFR degradation.
activation,Cytotoxic T-lymphocyte antigen 4 (CTLA4) and programmed cell death protein 1 (PD1) are two co-inhibitory receptors that are expressed on activated T cells against which therapeutic blocking antibodies have reached routine clinical use.
suppressed,"131I suppressed cell proliferation, induced cell apoptosis, and promoted cell cycle arrest of thyroid cancer cells by up-regulating B-cell translocation gene 2-mediated activation of JNK/NF-ÎºB pathways."
induced,"131I suppressed cell proliferation, induced cell apoptosis, and promoted cell cycle arrest of thyroid cancer cells by up-regulating B-cell translocation gene 2-mediated activation of JNK/NF-ÎºB pathways."
suppressed,"Knockdown of TRIM29 obviously suppressed cell proliferation; enhanced chemosensitivity to cisplatin; inhibited cell invasion and migration; caused cell cycle arrest at G0/G1 phase by decreasing cyclinÂ B1, cyclinÂ D1 and CDK2, while increasing p21 and p27; and induced cell apoptosis by enhancing the activities of caspase-3, caspase-9, and Bax, while decreased Bcl-2."
inhibition,"Knockdown of TRIM29 obviously suppressed cell proliferation; enhanced chemosensitivity to cisplatin; inhibited cell invasion and migration; caused cell cycle arrest at G0/G1 phase by decreasing cyclinÂ B1, cyclinÂ D1 and CDK2, while increasing p21 and p27; and induced cell apoptosis by enhancing the activities of caspase-3, caspase-9, and Bax, while decreased Bcl-2."
induced,"Knockdown of TRIM29 obviously suppressed cell proliferation; enhanced chemosensitivity to cisplatin; inhibited cell invasion and migration; caused cell cycle arrest at G0/G1 phase by decreasing cyclinÂ B1, cyclinÂ D1 and CDK2, while increasing p21 and p27; and induced cell apoptosis by enhancing the activities of caspase-3, caspase-9, and Bax, while decreased Bcl-2."
inhibition,"Notably, decreased TRIM29 expression significantly inhibited the activation of P13K/AKT signaling pathway as well."
promotes,Our studies demonstrate that NEK2 promotes aerobic glycolysis through regulating splicing of PKM and increasing the PKM2/PKM1 ratio in myeloma cells which contributes to its oncogenic activity.
regulated,Our studies demonstrate that NEK2 promotes aerobic glycolysis through regulating splicing of PKM and increasing the PKM2/PKM1 ratio in myeloma cells which contributes to its oncogenic activity.
regulated,"From a mechanistic standpoint, bioinformatics coupled with luciferase and gain-of-function, loss-of-function assays showed that miR-34c-3p may regulate TNBC progression by directly targeting the 3'-untranslated region (UTR) of mitogen-activated protein kinase kinase kinase 2 (MAP3K2)."
inhibition,"Sorafenib is an FDA-approved multitarget tyrosine and serine/threonine kinase inhibitor currently used to treat hepatocellular carcinoma, advanced renal carcinoma and radioactive iodine-resistant thyroid carcinoma."
inhibition,"In a bidirectional promoter shared by FOXE1 and PTCSC2, MYH9 inhibits the promoter activity in both directions."
activation,It has already been shown that the serine proteinases urokinase-type plasminogen activator and plasmin may proteolytically convert this proform into CCL149-74 by hydrolysis of the peptide bond behind the arginine residue at position 8.
inhibition,"ASA-mediated inhibition of cell migration and pigmentation was rescued by exogenous PGE2 or Compound C, which inhibits AMPK activation."
inhibition,"ASA-mediated inhibition of cell migration and pigmentation was rescued by exogenous PGE2 or Compound C, which inhibits AMPK activation."
inhibition,"We conclude that ASA inhibits colony formation, cell motility, and pigmentation through suppression of PGE2 and activation of AMPK, and reduces growth of some melanoma tumors in vivo."
induced,"Here we show, however, that activation of Nrf2 in fibroblasts induces cellular senescence."
activation,"Using a combination of transcriptomics, matrix proteomics, chromatin immunoprecipitation and bioinformatics we demonstrate that fibroblasts with activated Nrf2 deposit a senescence-promoting matrix, with plasminogen activator inhibitor-1 being a key inducer of the senescence program."
activation,"Using a combination of transcriptomics, matrix proteomics, chromatin immunoprecipitation and bioinformatics we demonstrate that fibroblasts with activated Nrf2 deposit a senescence-promoting matrix, with plasminogen activator inhibitor-1 being a key inducer of the senescence program."
induced,"The pro-tumorigenic activity is of general relevance, since Nrf2 activation in skin fibroblasts induced the expression of genes characteristic for cancer-associated fibroblasts from different mouse and human tumors."
activation,"Therefore, activated Nrf2 qualifies as a marker of the cancer-associated fibroblast phenotype."
attenuated,"Importantly, 4HD or XAG dramatically attenuated tumor incidence and volume in the BRAF-activated Pten-deficient melanoma mouse model."
activation,This probe can be activated to generate fluorescence through a tyrosinase-mediated oxidation followed by hydrolysis of the urea linkage.
inhibition,"Such a pharmacological activity was promoted by oleocanthal and oleacein through the inhibition of Erk and Akt phosphorylation and the suppression of B-Raf expression, whereas tyrosol and hydroxytyrosol did not have effect."
regulated,"Studies investigating markers of activation and modulators of NOTCH, IKK/NF-kB and other pathways regulating these cancer stem gene signatures could further accelerate the development of effective therapeutic strategies to treat cSCC recurrence and metastasis."
inhibition,"To the best of our knowledge, the present study is the first to indicate that rafoxanide inhibits CDK4/6 activity and is a potential candidate drug for the treatment of human skin cancer."
promotes,"These factors also affect the strength of signal transduction through the membranes for Wnt, a pathway that promotes epithelial (cancer) cell proliferation and HFSC activation."
induced,"Resveratrol induced the ROSâp38âp53 pathway by increasing the gene expression of phosphorylated p38 mitogenâactivated protein kinase, while it induced the p53 and ER stress pathway by increasing the gene expression levels of phosphorylated eukaryotic initiation factor 2Î± and C/EBP homologous protein."
suppressed,"Further, GLSE suppressed levels of activated hedgehog (Hh) pathway components Smo, Gli 1/2, and Shh while inducing SuFu."
activation,"Further, GLSE suppressed levels of activated hedgehog (Hh) pathway components Smo, Gli 1/2, and Shh while inducing SuFu."
inhibition,"Our findings suggest that LDIR inhibits protein synthesis and induces the cytokines activation associated with inflammation via direct and bystander effects, which might recapitulate the effects of LDIR in inflammated skin structures."
induced,"Our findings suggest that LDIR inhibits protein synthesis and induces the cytokines activation associated with inflammation via direct and bystander effects, which might recapitulate the effects of LDIR in inflammated skin structures."
induced,We found that the upregulation of SOX2 and CD24 required activation of STAT3 and that SOX2 induced the expression of CD24 by binding to its promoter.
binding,We found that the upregulation of SOX2 and CD24 required activation of STAT3 and that SOX2 induced the expression of CD24 by binding to its promoter.
induced,The overexpression of CD24 or SOX2 induced Src and STAT3 activity.
inhibition,"Hence, we suggest a novel mechanism of adaptive resistance whereby BRAF inhibition is circumvented via the activation of STAT3, SOX2 and CD24."
induced,Apoptosis was also induced through the activation of caspase-7 and poly (ADP-Ribose) polymerase cleavage.
inhibition,"hr ) hairless mice by inhibiting PRPK activation, and also reduced expression of the proliferation and oncogenesis markers, COX-2, cyclin D1, and MMP-9."
inhibition,"Of note, liquiritin treatment in mice and cells exposed to UVB showed reduced inflammatory response, oxidative stress and apoptosis through inhibiting the activation of TLR4/MyD88/NFâÎºB mitogenâactivated protein kinases and caspase pathways, and downregulating the release of oxidants."
induced,"Treatment of mice with bulky TRAMP-C2 tumors using oncolytic STEAP immunotherapy induced an overt delay in tumor progression, marked intratumoral lymphocytic infiltration with an active transcriptional profile and up-regulation of MHC class I."
attenuated,Vaccinated melanoma-bearing mice displayed an increased CD8 T cell reactivity indicated by a higher IFN-Î³ production and an upregulation of activation marker expression along with an attenuated immunosuppressive pattern of myeloid-derived suppressor cells (MDSC) and regulatory T cells (Treg).
activation,Overexpression of PKR activated PI3K/AKT and NF-ÎºB pathways.
activation,2 expression as well as activator protein-1 activity.
inhibition,"Moreover, syringic acid inhibited the UVB-induced phosphorylation of mitogen-activated protein kinases and Akt signaling pathways as well as epidermal growth factor receptor (EGFR)."
inhibition,"Syringic acid treatment further inhibited intracellular reactive oxygen species and protein-tyrosine phosphatase-Îº activity, a regulator of EGFR activation."
inhibition,Syringic acid and the antioxidant N-acetyl-l-cysteine inhibited UVB-induced nicotinamide adenine dinucleotide phosphate (NADPH) oxidase activity.
regulated,"KLKs are expressed in many cellular types where they regulate important physiological activities such as semen liquefaction, immune response, neural development, blood pressure, skin desquamation and tooth enamel formation."
activation,"Specifically, C36L1 treatment is able to repolarize M2-like immunosuppressive MOs into M1-like antitumorigenic MOs, and increase the number of immunogenic DCs, and activated cytotoxic T cells, while reducing the number of regulatory T cells and monocytic myeloid-derived suppressor cells in metastatic lungs."
inhibition,"Herein, we describe the optimization of the oxalic acid diamides and related N-acyl ureas and an analysis of the structure-activity relationships related to metabolic activation and SCD inhibition."
regulated,"Functional validation using Jurkat cells revealed clustering of mGluR5 receptors as well as increased regulated on activation, normal T cell expressed and secreted (RANTES) production post irradiation in cells pretreated with DHPG, whereas inhibition of mGluR5 activity with MPEP decreased RANTES concentration after irradiation."
inhibition,"Functional validation using Jurkat cells revealed clustering of mGluR5 receptors as well as increased regulated on activation, normal T cell expressed and secreted (RANTES) production post irradiation in cells pretreated with DHPG, whereas inhibition of mGluR5 activity with MPEP decreased RANTES concentration after irradiation."
adhesion,"+ T cell activation is associated with differentiation into a mixed T helper type 1 and 2 phenotype, as well as upregulation of adhesion molecules and chemokines that promote migration to the skin."
inhibition,"BPEO exhibited significant antiproliferative activity in these skin cells and significantly inhibited the production of Collagen I, Collagen III, and plasminogen activator inhibitor 1."
activation,"BPEO exhibited significant antiproliferative activity in these skin cells and significantly inhibited the production of Collagen I, Collagen III, and plasminogen activator inhibitor 1."
inhibition,"BPEO exhibited significant antiproliferative activity in these skin cells and significantly inhibited the production of Collagen I, Collagen III, and plasminogen activator inhibitor 1."
activation,"As epidermal cytokines and their receptors play critical roles in wound healing, Dsg2-induced secretome alterations were assessed with an antibody profiler array and revealed increased release and proteolytic processing of the urokinase-type plasminogen activator receptor."
induced,Dsg2 induced urokinase-type plasminogen activator receptor expression in the skin of transgenic compared with wild-type mice.
activation,Dsg2 induced urokinase-type plasminogen activator receptor expression in the skin of transgenic compared with wild-type mice.
activation,"Wounding further enhanced urokinase-type plasminogen activator receptor in both epidermis and dermis with a concomitant increase in the prohealing laminin-332, a major component of the basement membrane zone, in transgenic mice."
induced,"This study demonstrates that Dsg2 induces epidermal activation of various signaling cascades and accelerates cutaneous wound healing, in part, through urokinase-type plasminogen activator receptor-related signaling cascades."
activation,"This study demonstrates that Dsg2 induces epidermal activation of various signaling cascades and accelerates cutaneous wound healing, in part, through urokinase-type plasminogen activator receptor-related signaling cascades."
inhibition,"In accordance, inhibition of STAT5 and its upstream activator JAK3 triggered increased SATB1 expression and a concomitant suppression of IL-5 and IL-9 expression in malignant T cells."
activation,"In accordance, inhibition of STAT5 and its upstream activator JAK3 triggered increased SATB1 expression and a concomitant suppression of IL-5 and IL-9 expression in malignant T cells."
inhibition,"In vitro experiments confirmed that miR-129 or -335 overexpression inhibits MMP-9 promoter activity and protein expression by targeting Sp1, whereas the inhibition of these miRNAs has the opposite effect."
inhibition,"In vitro experiments confirmed that miR-129 or -335 overexpression inhibits MMP-9 promoter activity and protein expression by targeting Sp1, whereas the inhibition of these miRNAs has the opposite effect."
inhibition,"Overall, the results suggested that berberine inhibits tyrosinase activity and melanin synthesis by attenuating the expression of tyrosinase and MITF."
adhesion,"The molecular and cellular mechanisms that control the induction and specification of NC cells include epigenetic control, multiple interactive and redundant transcriptional pathways, secreted signaling molecules, and adhesion molecules."
induced,ONC201 was originally identified as a small molecule that induces transcription of TNF-related apoptosis-inducing ligand (TRAIL) and subsequently kills cancer cells by activating TRAIL death receptors.
inhibition,"Melatonin-induced cell death, and ROS generating activity were effectively inhibited by N-acetyl-l-cysteine (NAC) In conclusion, at low doses, melatonin has proliferative effects on both cancer and normal cells, whereas high concentrations have cytotoxic effects."
inhibition,"The regulation of GRHL3 function by this pathway is dependent on T454, as the substitution of T454 with methionine inhibits the activation of GRHL3."
activation,"Furthermore, the 11-fold increase in the level of caspase-3 confirmed eucalyptin B (1) activated caspase dependent apoptosis pathway."
activation,"Remarkably, whereas wild-type MITF represses S100A4 expression, MITF-E87R activates its transcription."
adhesion,"The opposite effects of wild-type and mutant MITF result in opposing cellular phenotypes, because MITF-E87R via S100A4 enhanced invasion and reduced adhesion in contrast to wild-type MITF activity."
inhibition,"It has been reported that Î±-TOS inhibits the mitochondrial complex II resulting in generation of reactive oxygen species, which triggers selective apoptosis in a large number of cancer cells, while it appears largely non-toxic towards normal cells."
activation,"Western blot analysis revealed that molecular components of the endoplasmic reticulum stress pathway were activated, including ATF4 (activating transcription factor 4) and DDIT3 (DNA damage inducible transcript 3), while levels of TRIB3 (tribbles pseudokinase 3) increased."
regulated,IDO and TDO are the first and rate-limiting enzymes in the kynurenine pathway and regulate the production of active metabolites.
induced,"Moreover, melanoma cells exerted significant morphological changes on microglia cells, enhanced proliferation, induced matrix metalloproteinase-2 (MMP-2) activation and cell migration."
induced,"Microglia cells induced phenotypic changes in melanoma cells increasing their malignant phenotype: increased melanoma proliferation, MMP-2 activity, cell migration, brain endothelial penetration, and tumor cells ability to grow as spheroids in 3D cultures."
induced,"Moreover, we showed that Comp 5 had a therapeutic potential on glioblastoma (GBM) and induced autophagy/mitophagy by activating SIRT1 in vivo."
activation,"Together, these results demonstrate a novel small-molecule activator of SIRT1 that induces autophagic cell death/mitophagy in GBM cells, which would be utilized to exploit this compound as a leading drug for future cancer therapy."
induced,"Together, these results demonstrate a novel small-molecule activator of SIRT1 that induces autophagic cell death/mitophagy in GBM cells, which would be utilized to exploit this compound as a leading drug for future cancer therapy."
induced,"Here, we identify an additional activity of R-2-HG: tumor cell-derived R-2-HG is taken up by T cells where it induces a perturbation of nuclear factor of activated T cells transcriptional activity and polyamine biosynthesis, resulting in suppression of T cell activity."
activation,"Here, we identify an additional activity of R-2-HG: tumor cell-derived R-2-HG is taken up by T cells where it induces a perturbation of nuclear factor of activated T cells transcriptional activity and polyamine biosynthesis, resulting in suppression of T cell activity."
activation,"Inflammation activates indoleamine 2,3-dioxygenase (IDO) which metabolizes tryptophan into kynurenine."
activation,"Hepatocyte growth factor activator inhibitor type 2 (HAI-2), encoded by the SPINT2 gene, is a membrane-anchored protein that inhibits proteases involved in the activation of hepatocyte growth factor (HGF), a ligand of MET receptor."
inhibition,"Hepatocyte growth factor activator inhibitor type 2 (HAI-2), encoded by the SPINT2 gene, is a membrane-anchored protein that inhibits proteases involved in the activation of hepatocyte growth factor (HGF), a ligand of MET receptor."
inhibition,"Hepatocyte growth factor activator inhibitor type 2 (HAI-2), encoded by the SPINT2 gene, is a membrane-anchored protein that inhibits proteases involved in the activation of hepatocyte growth factor (HGF), a ligand of MET receptor."
activation,"On the other hand, all glioblastoma lines expressed mRNA for HGF activator (HGFAC), a target protease of HAI-2/SPINT2."
activation,We identified prospero homeobox protein 1 (PROX1) as a novel transcriptional activator of TERT; this protein was shown to have particularly strong binding affinity for the mutant TERT promoter.
binding,We identified prospero homeobox protein 1 (PROX1) as a novel transcriptional activator of TERT; this protein was shown to have particularly strong binding affinity for the mutant TERT promoter.
inhibition,"Our data suggest that TERT promoter mutations can enhance the promoter activity in HCC cell lines expressing PROX1 but are not the predominant mechanism of TERT upregulation in B viral HCC patients, based on the inhibition of PROX1-dependent transcriptional activation by HBx."
activation,"We recently reported that down-regulation of exchange factor directly activated by Cyclic AMP (cAMP), also known as EPAC1, leads to a reduction in metastatic properties including proliferation and cell migration in TNBC cell lines."
binding,"In the nucleus, YAP1/TAZ tether with the DNA binding proteins TEADs, to activate the expression of target genes that regulate proliferation, migration, cell plasticity, and cell fate."
regulated,"In the nucleus, YAP1/TAZ tether with the DNA binding proteins TEADs, to activate the expression of target genes that regulate proliferation, migration, cell plasticity, and cell fate."
induced,"Specifically, BIX-01294 induced C/EBP homologous protein (CHOP)-mediated DR5 gene transcriptional activation and DR5 promoter activation was induced by upregulation of the protein kinase R-like endoplasmic reticulum kinase-mediated activating transcription factor 4 (ATF4)."
inhibition,"Moreover, inhibition of reactive oxygen species by N-acetyl-L-cysteine efficiently blocked BIX-01294-induced DR5 upregulation by inhibiting ATF4/CHOP expression, leading to diminished sensitization to TRAIL."
inhibition,"Moreover, inhibition of reactive oxygen species by N-acetyl-L-cysteine efficiently blocked BIX-01294-induced DR5 upregulation by inhibiting ATF4/CHOP expression, leading to diminished sensitization to TRAIL."
regulated,Estrogen signals both slowly to regulate transcription and rapidly to activate kinases and regulate calcium levels.
inhibition,"These data suggest a role for eEF2K activity in AS toxicity, and support eEF2K inhibition as a potential target in reducing AS-induced oxidative stress in PD."
inhibition,"The present study suggests that inhibition of GLP-1R signaling promotes seizure activity, which plays a key role in the pathogenesis of FS."
promotes,"The present study suggests that inhibition of GLP-1R signaling promotes seizure activity, which plays a key role in the pathogenesis of FS."
activation,"We also found that over-expression of PUMA by infection of activated lentiviral induced TrkB-expressing NB cell death in the absence of etoposide, and treatment of BDNF protected NB cells from PUMA-induced cell death."
induced,"We also found that over-expression of PUMA by infection of activated lentiviral induced TrkB-expressing NB cell death in the absence of etoposide, and treatment of BDNF protected NB cells from PUMA-induced cell death."
induced,"A significant impediment of CAR-T immunotherapy in solid tumors is poor exposure of T cells to tumor antigens resulting in suboptimal CAR-T cell activation, which ultimately fails to induce a robust anti-tumor immune response."
inhibition,These adjuvant-like effects of GSK3 inhibition on activated CAR-T cells may be a valuable adjunct to a successful implementation of CAR-T immunotherapy against GBM and other solid tumors.
activation,These adjuvant-like effects of GSK3 inhibition on activated CAR-T cells may be a valuable adjunct to a successful implementation of CAR-T immunotherapy against GBM and other solid tumors.
inhibition,"Irrespective of ligand or receptor expression, neither an EGFR antibody, erbitux, nor an EGFR tyrosine kinase inhibitor (TKI), gefitinib, were particularly active against LTC or GIC at clinically relevant concentrations."
activation,"To date, the molecular mechanism underlying constitutive signal transducer and activator of transcription 3 (STAT3) activation in gliomas is largely unclear."
regulated,"In this study, we report that Smad6 is overexpressed in nuclei of glioma cells, which correlates with poor patient survival and regulates STAT3 activity via negatively regulating the Protein Inhibitors of Activated STAT3 (PIAS3)."
regulated,"In this study, we report that Smad6 is overexpressed in nuclei of glioma cells, which correlates with poor patient survival and regulates STAT3 activity via negatively regulating the Protein Inhibitors of Activated STAT3 (PIAS3)."
inhibition,"Later, sustained oxidative stress generated by Cdk5 inhibits ALDH1A1 activity, leading to neurotoxicity."
inhibition,"However, a novel pan-AKT allosteric inhibitor, ARQ-092, which targets both the inactive and active conformations of AKT, conferred protection to young and aging axons when applied before or after OGD."
inhibition,"These results suggest that AKT and CDK5 signaling contribute to the WM functional protection conferred by CK2 inhibition during ischemia, while inhibition of activated AKT signaling plays the primary role in post-ischemic protection conferred by CK2 inhibition in WM independent of age."
activation,"These results suggest that AKT and CDK5 signaling contribute to the WM functional protection conferred by CK2 inhibition during ischemia, while inhibition of activated AKT signaling plays the primary role in post-ischemic protection conferred by CK2 inhibition in WM independent of age."
regulated,"AVP secretion by MNCs is regulated by both excitatory and inhibitory synaptic activity, alterations in plasma osmolarity, and various peptides including angiotensin II."
activation,"Specifically, we utilized conditional knock-in mice, in which Cas9 and GFP are chronically activated by the CAG (CMV enhancer/chicken Ã-actin) promoter after Cre-mediated recombination of the genome."
activation,"PTEN is a lipid phosphatase whose loss activates PI3K/Akt signaling, which is related to HIF-1Î± upregulation and enhanced angiogenesis in human cancer cells."
inhibition,These findings suggest that PTEN inhibition promotes post-ischemic angiogenesis in HUVECs after exposure to OGD and this enhancing effect might be achieved through activation of the Akt signal cascade.
promotes,These findings suggest that PTEN inhibition promotes post-ischemic angiogenesis in HUVECs after exposure to OGD and this enhancing effect might be achieved through activation of the Akt signal cascade.
activation,Immunotherapy has emerged as a major therapeutic modality in cancer but is often hampered by the low influx of activated cytotoxic T-cells.
inhibition,"Western blot results of autophagy-associated protein (LC3 II/I, Beclin-1) and apoptosis-associated proteins (caspase-3, Bcl-2, Bax) revealed that AG-1031 could activate apoptotic signal pathway via inhibiting autophagy process in cancer cells."
activation,"The expression of p-ERK/ERK, p-AKT/AKT, p-methyl ethyl ketone (MEK)/MEK, and p-mammalian target of rapamycin (mTOR)/mTOR expression was up-regulated, suggesting that the ERK/AKT signaling pathway is activated."
promotes,"Our study demonstrates that ERÎ±36 gene silencing can inhibit the activation of the ERK/AKT signaling pathway, increase tau protein phosphorylation, decrease cell vitality and tumorigenicity, and promote apoptosis of human neuroblastoma SH-SY5Y cells.-Wang, H.-B., Li, T., Ma, D.-Z., Zhi, H. ERÎ±36 gene silencing promotes tau protein phosphorylation, inhibits cell proliferation, and induces apoptosis in human neuroblastoma SH-SY5Y cells."
inhibition,"Our study demonstrates that ERÎ±36 gene silencing can inhibit the activation of the ERK/AKT signaling pathway, increase tau protein phosphorylation, decrease cell vitality and tumorigenicity, and promote apoptosis of human neuroblastoma SH-SY5Y cells.-Wang, H.-B., Li, T., Ma, D.-Z., Zhi, H. ERÎ±36 gene silencing promotes tau protein phosphorylation, inhibits cell proliferation, and induces apoptosis in human neuroblastoma SH-SY5Y cells."
induced,"Our study demonstrates that ERÎ±36 gene silencing can inhibit the activation of the ERK/AKT signaling pathway, increase tau protein phosphorylation, decrease cell vitality and tumorigenicity, and promote apoptosis of human neuroblastoma SH-SY5Y cells.-Wang, H.-B., Li, T., Ma, D.-Z., Zhi, H. ERÎ±36 gene silencing promotes tau protein phosphorylation, inhibits cell proliferation, and induces apoptosis in human neuroblastoma SH-SY5Y cells."
induced,"Cytotoxicity of the NFsâ+âSali was evaluated on human glioblastoma U-251 cells and more than 50% of the treated cells showed apoptosis in 48âh. Moreover, NFsâ+âSali was effective to induce intracellular reactive oxygen species (ROS) leading to cell apoptosis."
activation,"CHD8 activates expression of BRG1-associated SWI/SNF complexes that in turn activate CHD7, thus initiating a successive chromatin remodeling cascade that orchestrates oligodendrocyte lineage progression."
activation,"We found that cancer-associated stress chronically activates the bioenergetic sensor AMP kinase (AMPK) and, to survive, tumour cells hijack an AMPK-regulated stress response pathway conserved in normal cells."
activation,"In stressed (exercised) skeletal muscle, AMPK is activated to cooperate with CREB1 (cAMP response element binding protein-1) and promote glucose metabolism."
binding,"In stressed (exercised) skeletal muscle, AMPK is activated to cooperate with CREB1 (cAMP response element binding protein-1) and promote glucose metabolism."
activation,We demonstrate that oncogenic stress chronically activates AMPK in GSCs that coopt the AMPK-CREB1 pathway to coordinate tumour bioenergetics through the transcription factors HIF1Î± and GABPA.
inhibition,Reporter gene assays showed that formononetin produced inhibition of NF-ÎºB luciferase activity in HEK293 cells stimulated with TNF-Î±.
inhibition,"Knocked down of C1, C2 or C3 inhibited microglial activation and prevented the development of cancer-induced bone pain."
inhibition,Intrathecal administration of either minocycline (an inhibitor of microglial activity) to inhibit the activation of microglia or compstatin (a C3-targeted complement inhibitor) to block the complement cascade reversed cancer induced bone pain.
induced,Intrathecal administration of either minocycline (an inhibitor of microglial activity) to inhibit the activation of microglia or compstatin (a C3-targeted complement inhibitor) to block the complement cascade reversed cancer induced bone pain.
inhibition,"In the in vitro experiments, the proliferation of microglia was enhanced by the activation product of C3 (iC3b), but was inhibited by compstatin."
inhibition,"Furthermore, miR-505 inactivated the Wnt/Î²-catenin signaling pathway by directly targeting and inhibiting WNT7B."
regulated,"Importantly, the occupancy of L3mbtl1 on the Ctnnb1 gene was regulated by neuronal activity."
binding,"WD pigs demonstrated lower dopamine transporter binding potential in the hippocampus and parahippocampal cortex ( P < 0.05 for both), as well as a trend in putamen ( P = 0.07), associated with lower basal brain activity in the prefrontal cortex and nucleus accumbens ( P < 0.05) compared with lean SD pigs."
inhibition,Reactivation of BAI1/p53 signaling axis by a brain-permeable MBD2 pathway inhibitor suppresses MB growth inÂ vivo.
induced,"Here, we describe that brain metastatic cells induce and maintain the co-option of a pro-metastatic program driven by signal transducer and activator of transcription 3 (STAT3) in a subpopulation of reactive astrocytes surrounding metastatic lesions."
activation,"Here, we describe that brain metastatic cells induce and maintain the co-option of a pro-metastatic program driven by signal transducer and activator of transcription 3 (STAT3) in a subpopulation of reactive astrocytes surrounding metastatic lesions."
inhibition,"However, PDGFR inhibitor (PDGFRi) has failed in clinical trials, at least partially, due to the activation of other RTKs, which compensates for PDGFR inhibition and renders tumor cells resistance to PDGFRi."
inhibition,"However, PDGFR inhibitor (PDGFRi) has failed in clinical trials, at least partially, due to the activation of other RTKs, which compensates for PDGFR inhibition and renders tumor cells resistance to PDGFRi."
attenuated,"Moreover, concurrent expression of PDGFR with ERBB3, IGF1R, or TGFBR2 in GBM cells attenuated the toxicity of PDGFRi and maintained the activation of PDGFR downstream targets under the existence of PDGFRi."
activation,The in vitro model used Aicardi-GoutiÃ©res Syndrome immortalized lymphocytes activated by interferon I and co-cultured with human astrocytes; lymphocyte neurotoxicity was attenuated by the calcineurin-inhibitor Tacrolimus and by the anti-interferon monoclonal antibody Sifalimumab.
attenuated,The in vitro model used Aicardi-GoutiÃ©res Syndrome immortalized lymphocytes activated by interferon I and co-cultured with human astrocytes; lymphocyte neurotoxicity was attenuated by the calcineurin-inhibitor Tacrolimus and by the anti-interferon monoclonal antibody Sifalimumab.
induced,"In the brain, CpG overload induced a rapid activation of macrophage-like microglial cells and focal accumulation mononuclear cells."
adhesion,"In neural progenitor cell (NPC) cultures, rPKM2 (0.4-4Â nM) increased the expression of integrin Î²1 and the activation/phosphorylation of focal adhesion kinase (FAK)."
inhibition,"Inhibiting the STAT3 phosphorylation/activation by the STAT3 inhibitor, BP-1-102 (3Â mg/kg/day, o.g."
activation,Icv NVP-BSK805 was combined with ip leptin to evaluate ability to interfere with the action of this hormone on food intake and on induction of hypothalamic phosphorylation of signal transducer and activator of transcription 3 (STAT3).
activation,"In this study, mGluR4 was activated using selective agonist VU0155041; and gene-targeted siRNAs were used to generate loss of function of mGluR4 and Gli-1 in LN229 cells."
inhibition,"Activation of mGluR4 inhibited cyclin D1 expression, activated pro-caspase-8/9/3, and disrupted the balance of Bcl-2/Bax expression, which indicated cell cycle arrest and apoptosis of LN229 cells, respectively."
activation,"Activation of mGluR4 inhibited cyclin D1 expression, activated pro-caspase-8/9/3, and disrupted the balance of Bcl-2/Bax expression, which indicated cell cycle arrest and apoptosis of LN229 cells, respectively."
inhibition,"Furthermore, Gli-1 expression was reduced by mGluR4 activation in LN229 cells, and downregulation of Gli-1 expression by gene-targeted siRNA resulted in both inhibition of cell proliferation and promotion of apoptosis."
binding,"However, although Grh binding is necessary for enhancer accessibility, it is insufficient to activate enhancers."
inhibition,We have previously shown that the activation of the M2 acetylcholine muscarinic receptors inhibited cell proliferation and induced apoptosis in two GBM cell lines and cancer stem cells.
induced,We have previously shown that the activation of the M2 acetylcholine muscarinic receptors inhibited cell proliferation and induced apoptosis in two GBM cell lines and cancer stem cells.
promotes,"Exploiting U87MG and U251MG cell lines as model systems, we evaluated the ability of M2 receptors to interfere with Notch-1 and EGFR pathways, whose activation promotes GBM proliferation."
attenuated,"Compared to WT mice, TRIFKO mice showed attenuated upregulation of Il6, Ccl2, Ccl5, Cxcl1, Cxcl2, and Cxcl10 in the hypothalamus after IP LPS treatment, as well as attenuated microglial activation and neutrophil infiltration into the brain after ICV LPS treatment."
inhibition,We found that over-expression of Dyrk1A (on a C57BL/6J background) stabilizes IÎºBÎ± protein levels by inhibition of calpain activity and increases cytoplasmic p65 sequestration in the mouse brain.
induced,"Although inflammation induced by lipopolysaccharide treatment has a positive effect on calpastatin and a negative effect on DYRK1A protein level, a positive effect on microglial activation is maintained in the brains of mice over-expressing Dyrk1A."
